id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing
S834432,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,458,vil,2019-07-08T00:05:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138765.0,834432.0,Hail,38.1141728092776,-107.14220420085823,41.819602229498614,-102.99667857295584,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S843648,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,529,vil,2019-07-22T19:55:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,140291.0,843648.0,Hail,39.757207173584142,-77.089192519877869,42.153434402469891,-71.39685512338545,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S829441,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,245,vil,2019-07-07T23:45:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138016.0,829441.0,Hail,43.314637819266345,-109.50188872044146,47.110060710847165,-105.17678488158494,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S852994,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,320,vil,2019-08-10T23:40:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138916.0,852994.0,Hail,45.289554379159469,-118.72658866159115,49.378404692182073,-114.91963368903549,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S835458,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,136,vil,2019-08-10T11:30:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138915.0,835458.0,Hail,40.042260629460827,-123.18106532249048,44.225024277998187,-119.88578549874242,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,211.0,0.0
S842370,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,341,vil,2019-07-28T20:14:00Z,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,140015.0,842370.0,Hail,41.23725833255164,-105.25520388661859,44.879582906916745,-100.8131339471538,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S846340,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,427,vil,2019-08-14T18:40:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,140814.0,846340.0,Hail,42.073263048494617,-105.73802107520552,45.73418192800947,-101.26624468177195,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S850948,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,464,vil,2019-08-08T04:00:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,141737.0,850948.0,Hail,41.092174196504146,-100.19514028887377,44.543359172567243,-95.480009913295078,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S828550,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,5,vil,2019-07-19T19:25:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,137878.0,828550.0,Hail,44.496380103726089,-97.77342024525116,47.848442157440118,-92.628021211248566,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S834438,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,66,vil,2019-08-01T21:46:00Z,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,138768.0,834438.0,Hail,38.770151666417242,-105.7871672105998,42.42899471762091,-101.53199634260817,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S841862,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,515,vil,2019-09-01T21:15:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,139929.0,841862.0,Hail,38.65414455771095,-85.836082643950732,41.491845636280665,-80.61838629912971,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S832903,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,154,vil,2019-07-14T04:30:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138540.0,832903.0,Hail,45.013549046498916,-115.11184068986513,48.995642849597523,-111.05764541226786,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S849415,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,411,vil,2019-08-18T09:40:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,141445.0,849415.0,Hail,40.364608057078506,-94.080532148327237,43.565750838705867,-89.103385984975759,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S853640,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,49,vil,2019-08-09T00:15:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,142163.0,853640.0,Hail,42.141883843780647,-122.6709446205025,46.320424711630523,-119.27696113036484,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S853641,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,335,vil,2019-08-05T00:06:00Z,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,142164.0,853641.0,Hail,41.701923798333112,-123.36094229670802,45.895554786516065,-120.02805549119414,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S857225,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0701_1231.h5,373,vil,2019-09-27T17:45:00Z,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,142854.0,857225.0,Hail,39.206892976118709,-91.819385377961581,42.313379994966823,-86.827980961315873,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
